"value","config"
168487.503418256,"config1"
201854.26120786,"config1"
172641.870854529,"config1"
194407.085948858,"config1"
139450.583950626,"config1"
122132.096335715,"config1"
163320.702194108,"config1"
185238.442321934,"config1"
137039.479082303,"config1"
185957.395866827,"config1"
146798.374572363,"config1"
153640.781157323,"config1"
177445.664628919,"config1"
125000.664028215,"config1"
192925.314918301,"config1"
188129.900309857,"config1"
195958.285271606,"config1"
179799.337056367,"config1"
131037.49697866,"config1"
185672.139122037,"config1"
172616.433878664,"config1"
156341.216481807,"config1"
126833.680926695,"config1"
148239.627828454,"config1"
134128.848442945,"config1"
191588.26642435,"config1"
125435.331268389,"config1"
200059.094352398,"config1"
145065.761288291,"config1"
232686.050152453,"config1"
903.305852619299,"config2"
158.890725156882,"config2"
1572.38414504371,"config2"
316.525515617756,"config2"
2250.16973006488,"config2"
2274.18596647208,"config2"
157.511566109876,"config2"
1872.67578638257,"config2"
502.120172308015,"config2"
3881.89108037662,"config2"
4735.50782126898,"config2"
1801.82154087483,"config2"
912.987671837186,"config2"
5046.48485371884,"config2"
968.045096005845,"config2"
368.620936879091,"config2"
730.802307580333,"config2"
239.873416685308,"config2"
1392.93115330781,"config2"
8010.15115838694,"config2"
942.99154521307,"config2"
8507.35323780177,"config2"
531.064745598295,"config2"
1604.61507292704,"config2"
608.796448746631,"config2"
1790.37020679267,"config2"
376.481371102041,"config2"
1879.82732636044,"config2"
38869.4664510779,"config2"
1214.61077127978,"config2"
