"value","config"
0.0158596750179615,"config1"
0.00106916847365121,"config1"
0.169121831614687,"config1"
0.00481073873962976,"config1"
0.0114961168134769,"config1"
0.0026075360358122,"config1"
0.0156272194151542,"config1"
6.72996971903325e-05,"config1"
0.00584794365358237,"config1"
0.00388073038082663,"config1"
0.00983630698545209,"config1"
0.0124324942030301,"config1"
4.19379401810881e-07,"config1"
0.0115159206665568,"config1"
0.00851933552236942,"config1"
0.0494391486278196,"config1"
0.03380629469935,"config1"
0.0157657058358555,"config1"
0.0190382042060401,"config1"
0.0359961100424245,"config1"
0.151044388608672,"config1"
0.00225306700594339,"config1"
0.0123951299702625,"config1"
0.000105328749548569,"config1"
0.0222826595894975,"config1"
0.0559056964545483,"config1"
0.0169813245307179,"config1"
0.0381556589688557,"config1"
0.0701643754571371,"config1"
0.0023622540089793,"config1"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
3.15544362088405e-30,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
7.88860905221012e-31,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
0,"config2"
