"","algorithm","replicate","instance","group","result"
"1",1,25,24,6,485538.697219734
"2",1,28,5,2,39.2918464309065
"3",1,28,66,16,4630039.72947966
"4",1,29,18,5,290807.922562314
"5",2,12,132,31,11024822.1629259
"6",1,16,88,21,6163853.92505481
"7",1,14,103,24,6948643.90669682
"8",2,7,10,3,9.07727580372955
"9",2,24,98,23,6446966.56907269
"10",1,3,45,11,2230293.53095994
"11",2,19,48,11,1422538.96515711
"12",2,5,45,11,1261138.6895279
"13",2,10,23,6,99860.7330182375
"14",2,22,132,31,9850941.84336931
"15",2,19,130,30,9847951.04963529
"16",2,30,24,6,201531.847311352
"17",1,23,148,34,10735820.8482904
"18",1,3,80,19,4551653.49470111
"19",1,17,84,20,5388907.84229952
"20",1,14,116,27,8857482.73391299
"21",1,25,79,19,4976765.29107108
"22",2,8,89,21,6257111.05643178
"23",2,5,116,27,7493392.4406764
"24",2,14,107,25,7599904.14608857
"25",2,24,97,23,6502390.15006686
"26",2,29,28,7,127718.654204879
"27",1,19,117,27,8346410.43848633
"28",2,16,125,29,9219417.17333565
"29",1,6,53,13,3166737.87427636
"30",2,4,66,16,3843702.42973782
"31",1,18,108,25,5840352.31885691
"32",2,17,90,21,5510638.20039613
"33",1,21,138,32,10092846.8901068
"34",2,15,101,24,6821828.88104759
"35",1,5,56,13,2901604.00257518
"36",1,5,77,18,4352285.83032752
"37",1,12,120,28,8381585.5716473
"38",2,27,64,15,3311680.19016535
"39",2,25,106,25,7881439.37729791
"40",2,8,60,14,4070357.31568911
"41",2,4,94,22,6824007.49566415
"42",2,29,11,3,180.564158535396
"43",2,26,59,14,3940713.16911796
"44",1,18,10,3,8401.08152449083
"45",1,28,140,32,10180795.8257919
"46",2,8,138,32,10652646.0962218
"47",1,12,105,24,7886536.70497714
"48",2,10,11,3,279.300764065258
"49",1,19,84,20,5646611.28445991
"50",2,5,149,34,11590932.9960094
"51",1,11,141,33,10274467.7615252
"52",1,5,7,2,1507.20108824682
"53",1,19,130,30,10565047.9840341
"54",2,27,63,15,4182803.83773241
"55",2,20,8,2,4.97056017008868
"56",2,22,27,7,252038.822247531
"57",2,15,50,12,1413207.46314667
"58",2,15,7,2,1.27616708790654
"59",2,24,144,33,11810527.5524294
"60",1,11,59,14,3598100.02236385
"61",1,22,54,13,1644033.59436717
"62",1,21,5,2,70.4333658699806
"63",2,22,122,28,9520227.47100055
"64",2,19,6,2,0.000648605329990686
"65",1,3,79,19,4654182.33708621
"66",2,8,101,24,7042192.53964793
"67",1,24,131,30,10525062.694461
"68",2,17,120,28,9232962.06712426
"69",1,8,55,13,2839942.68170405
"70",2,9,22,6,28466.2074975467
"71",2,1,21,5,16859.4143218352
"72",2,13,123,29,9034436.15188348
"73",1,26,114,27,8583785.09378989
"74",1,8,118,27,8469235.58650437
"75",1,9,19,5,368033.699334565
"76",1,10,138,32,9745315.43798179
"77",1,15,38,9,1283032.40305777
"78",2,19,127,29,10058596.0513305
"79",1,3,91,21,5836455.73387424
"80",1,15,68,16,4253441.43935321
"81",2,4,64,15,4264200.39988919
"82",2,14,31,8,478460.877023913
"83",1,7,144,33,10360332.57278
"84",1,6,42,10,1677984.43615943
"85",2,12,31,8,390348.495667948
"86",1,16,136,32,10167992.3738651
"87",1,29,25,6,679122.339477776
"88",1,24,2,1,0.0209016878434822
"89",1,16,26,6,566715.20478582
