"Algorithm" "Instance" "Observation"
"1" "algo1" "Inst.29" 47750.8708193102
"2" "algo1" "Inst.29" 28317.2496239451
"3" "algo1" "Inst.29" 36158.8804672566
"4" "algo1" "Inst.29" 43403.3305722574
"5" "algo1" "Inst.29" 24469.2095742145
"6" "algo1" "Inst.29" 28776.1070726336
"7" "algo1" "Inst.29" 34106.4139853307
"8" "algo1" "Inst.29" 13703.3847307893
"9" "algo1" "Inst.29" 17737.2158005323
"10" "algo1" "Inst.29" 16895.8924372244
"11" "algo1" "Inst.29" 33942.5053634444
"12" "algo1" "Inst.29" 22907.3970609275
"13" "algo1" "Inst.29" 33206.7089501477
"14" "algo1" "Inst.29" 34023.1938605528
"15" "algo1" "Inst.29" 23783.7713559013
"16" "algo1" "Inst.29" 11347.4327854807
"17" "algo1" "Inst.29" 47165.8045754735
"18" "algo1" "Inst.29" 26156.6475791315
"19" "algo1" "Inst.29" 18958.796601761
"20" "algo1" "Inst.29" 17551.3652736194
"21" "algo1" "Inst.29" 18923.9892166703
"22" "algo1" "Inst.29" 13592.2542762406
"23" "algo1" "Inst.29" 17628.286804514
"24" "algo1" "Inst.29" 33828.7883583281
"25" "algo1" "Inst.29" 21450.2588841361
"26" "algo1" "Inst.29" 15560.0238544061
"27" "algo1" "Inst.29" 12508.3393671699
"28" "algo1" "Inst.29" 13102.3958319006
"29" "algo1" "Inst.29" 34196.7093416515
"30" "algo1" "Inst.29" 9860.32946301046
"31" "algo1" "Inst.29" 43065.5314746642
"32" "algo1" "Inst.29" 18528.0950198283
"33" "algo1" "Inst.29" 14437.1706263624
"34" "algo1" "Inst.29" 25782.9825311634
"35" "algo1" "Inst.29" 36768.0716145811
"36" "algo1" "Inst.29" 17355.5660160363
"37" "algo1" "Inst.29" 29592.3390210147
"38" "algo1" "Inst.29" 43982.8209627211
"39" "algo1" "Inst.29" 29507.7861491451
"40" "algo1" "Inst.29" 16787.3419682014
"41" "algo2" "Inst.29" 6.53028548461354
"42" "algo2" "Inst.29" 9.62003501916821
"43" "algo2" "Inst.29" 7.04220126891808
"44" "algo2" "Inst.29" 8.75481223500931
"45" "algo2" "Inst.29" 8.31253323009073
"46" "algo2" "Inst.29" 9.26909920899074
