"","algorithm","replicate","instance","group","result"
"1",2,27,136,5,10468701.3517795
"2",2,12,85,3,5422953.77973511
"3",1,5,136,5,10468701.3517795
"4",2,9,85,3,5834182.87157583
"5",1,26,59,2,3964459.56646863
"6",1,11,6,1,324.534601470409
"7",1,14,114,4,7902418.98901275
"8",1,30,114,4,7743941.71649405
"9",2,17,4,1,3.57138550125186e-15
"10",2,17,109,4,6678025.03918975
"11",2,25,52,2,3147339.51840071
"12",2,10,97,4,7167101.60442522
"13",2,28,91,4,5617356.83769867
"14",2,22,33,2,409553.554874815
"15",2,17,132,5,8916255.20381956
"16",1,12,123,5,8558591.32996806
"17",1,9,70,3,3661910.52941255
"18",2,1,136,5,10452863.1785045
"19",2,30,28,1,141178.042876122
"20",1,17,28,1,883404.75898315
"21",2,7,21,1,53393.3150506718
"22",1,23,36,2,1411837.33737968
"23",2,6,123,5,8779636.15606415
"24",2,8,98,4,7430859.86135957
"25",1,14,55,2,3099816.46541866
"26",1,13,126,5,9848427.87357626
"27",2,12,44,2,1434855.4826897
"28",1,13,112,4,7902621.81240164
"29",2,20,80,3,5883321.41751406
"30",1,20,21,1,455798.88977002
"31",1,9,7,1,1435.16581016571
"32",2,5,119,4,9357925.74809365
"33",2,26,142,5,9939345.9930886
"34",1,9,109,4,7002490.22809594
"35",2,24,52,2,1590797.55868706
"36",1,29,8,1,3446.73495381487
"37",2,5,7,1,4.92834199745393
"38",2,23,80,3,5121559.41762798
"39",2,23,67,3,4513674.0710248
"40",1,29,116,4,8566054.8445587
"41",1,28,107,4,7920920.65569653
"42",2,19,46,2,746902.718074157
"43",2,30,67,3,4882170.34403278
"44",2,28,64,3,3589311.63795631
"45",2,11,17,1,684.625922368513
"46",1,2,102,4,7513392.84906152
"47",2,30,52,2,814825.923661856
"48",1,12,137,5,9258767.82700713
"49",2,21,45,2,2545168.08929034
"50",1,30,137,5,10976488.8492649
"51",2,4,116,4,7523772.13598668
"52",2,7,147,5,10233670.2720129
"53",1,9,38,2,1515487.59407261
"54",1,30,30,2,953530.458878489
"55",2,12,30,2,417150.460933915
"56",2,28,150,6,12100407.7701166
